City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Colquechaca,BO,-18.6667,-66.0167,32.9,74,57,2.17,broken clouds
267,Luderitz,NA,-26.6481,15.1594,55.54,65,0,19.69,clear sky
268,Pandan,PH,14.0453,124.1694,84.79,75,100,8.57,overcast clouds
269,Bada,RU,51.392,109.8717,70.09,66,80,9.31,broken clouds
270,Kaeo,NZ,-35.1,173.7833,66.33,74,25,10.96,scattered clouds
271,Constitucion,CL,-35.3333,-72.4167,47.39,62,0,7.2,clear sky
272,Nova Olimpia,BR,-14.7972,-57.2881,70.45,33,3,2.48,clear sky
273,Faanui,PF,-16.4833,-151.75,77.68,70,17,6.17,few clouds
274,Ayorou,NE,14.7308,0.9174,80.24,68,29,15.14,scattered clouds
275,Lebedyan,RU,53.0194,39.1664,52.74,97,44,6.85,scattered clouds
276,Mazamari,PE,-11.3258,-74.5308,70.93,85,82,1.54,broken clouds
277,Lagoa,PT,39.05,-27.9833,71.06,87,0,9.01,clear sky
278,Sept-Iles,CA,50.2001,-66.3821,61.32,91,100,2.3,overcast clouds
279,Sangar,RU,63.9242,127.4739,74.66,60,100,7.34,overcast clouds
280,Del Rio,US,29.3627,-100.8968,100.51,22,0,8.05,clear sky
281,Port Hardy,CA,50.6996,-127.4199,58.91,77,2,15.43,clear sky
282,Hlubocky,CZ,49.6178,17.3944,62.29,65,11,2.17,few clouds
283,Santa Isabel,BR,-23.3156,-46.2214,63.7,90,98,4.0,overcast clouds
284,Gryfice,PL,53.9165,15.2003,67.84,59,2,6.31,clear sky
285,Haimen,CN,23.1935,116.6142,89.49,76,65,5.57,broken clouds
286,Saint George,US,37.1041,-113.5841,104.25,10,0,10.31,clear sky
287,Tabas,IR,33.5959,56.9244,84.78,18,0,7.96,clear sky
288,Loa Janan,ID,-0.583,117.095,86.34,66,22,1.86,few clouds
289,Ixtapa,MX,20.7,-105.2,87.03,70,75,8.05,broken clouds
290,Eyl,SO,7.9803,49.8164,76.17,59,94,24.36,overcast clouds
291,Moussoro,TD,13.6408,16.4901,74.59,80,100,18.9,light rain
292,Sambava,MG,-14.2667,50.1667,68.79,83,17,14.09,light rain
293,Popondetta,PG,-8.7537,148.2534,89.87,47,92,5.17,overcast clouds
294,Cayhagan,PH,9.6697,122.4256,83.3,72,71,0.92,broken clouds
295,Strelka,RU,58.0728,93.0344,58.21,95,100,6.64,overcast clouds
296,Coihaique,CL,-45.5752,-72.0662,42.75,81,100,6.91,light rain
297,Cobija,BO,-11.0267,-68.7692,75.16,68,84,2.95,broken clouds
298,Kavaratti,IN,10.5669,72.642,81.1,81,100,22.19,overcast clouds
299,Fort Nelson,CA,58.8053,-122.7002,71.19,35,40,13.8,scattered clouds
300,Talara,PE,-4.5772,-81.2719,62.74,90,100,13.53,overcast clouds
301,Zavitinsk,RU,50.1167,129.45,69.66,77,95,5.66,overcast clouds
302,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,78,0,14.97,clear sky
303,Raudeberg,NO,61.9875,5.1352,57.69,89,100,21.43,light rain
304,Puerto Leguizamo,CO,-0.1934,-74.7819,71.33,97,98,2.3,overcast clouds
305,Aitape,PG,-3.1374,142.3475,84.38,67,92,3.65,overcast clouds
306,Abashiri,JP,44.0213,144.2697,61.95,88,100,9.4,light rain
307,Ternate,ID,0.8,127.4,83.1,73,88,2.98,overcast clouds
308,Tautira,PF,-17.7333,-149.15,76.93,69,4,4.14,clear sky
309,Yar-Sale,RU,66.8333,70.8333,61.11,60,100,6.6,overcast clouds
310,Razole,IN,16.4833,81.8333,83.86,76,100,6.4,overcast clouds
311,Gobabis,NA,-22.45,18.9667,46.44,56,0,10.98,clear sky
312,Talkha,EG,31.0539,31.3779,73.31,84,0,5.23,clear sky
313,Xai-Xai,MZ,-25.0519,33.6442,65.3,89,20,8.1,few clouds
314,Nampula,MZ,-15.1165,39.2666,66.15,100,100,5.75,fog
315,Walvis Bay,NA,-22.9575,14.5053,54.09,89,0,11.23,clear sky
316,Caucaia,BR,-3.7361,-38.6531,78.75,75,0,3.44,clear sky
317,Robore,BO,-18.3333,-59.75,72.68,53,96,1.86,overcast clouds
318,Aykhal,RU,66.0,111.5,52.57,70,60,16.31,broken clouds
319,Uspenskaya,RU,45.7645,41.067,58.89,85,5,4.61,clear sky
320,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,66.09,90,7,11.3,clear sky
321,Male,MV,4.1748,73.5089,82.06,75,100,14.5,overcast clouds
322,Scalea,IT,39.813,15.7956,77.67,51,0,7.52,clear sky
323,Provideniya,RU,64.3833,-173.3,51.91,71,0,13.42,clear sky
324,Karla,EE,59.3723,24.9275,58.96,77,0,10.36,clear sky
325,Manado,ID,1.487,124.8455,88.57,62,20,3.44,few clouds
326,Pontes E Lacerda,BR,-15.2261,-59.3353,70.83,42,7,3.09,clear sky
327,Asau,RO,46.4333,26.4,64.96,83,48,3.87,scattered clouds
328,Sorland,NO,67.667,12.6934,53.46,86,100,11.63,overcast clouds
329,Nyurba,RU,63.2842,118.3319,60.3,65,100,10.22,overcast clouds
330,Ishigaki,JP,24.3448,124.1572,89.73,79,40,17.27,scattered clouds
331,Telimele,GN,10.9167,-13.3333,69.82,99,100,2.13,light rain
332,Lethem,GY,3.3803,-59.7968,75.52,89,88,4.63,overcast clouds
333,Kloulklubed,PW,7.0419,134.2556,79.3,74,100,3.76,light rain
334,Saldanha,ZA,-33.0117,17.9442,42.85,74,0,15.41,clear sky
335,Verkhnyaya Sinyachikha,RU,57.976,61.6673,63.01,95,25,8.01,scattered clouds
336,Bayanday,RU,53.0661,105.5139,55.27,92,100,8.37,overcast clouds
337,Simao,CN,22.7886,100.9748,73.4,89,85,2.53,overcast clouds
338,Necochea,AR,-38.5473,-58.7368,48.81,43,0,17.05,clear sky
339,Ilebo,CD,-4.3167,20.5833,68.27,91,0,0.18,clear sky
340,Port Macquarie,AU,-31.4333,152.9167,60.89,53,92,7.2,overcast clouds
341,Manono,CD,-7.3,27.4167,74.95,40,38,3.78,scattered clouds
342,Nhamunda,BR,-2.1861,-56.7131,77.32,74,74,3.13,broken clouds
343,Khani,GE,41.9563,42.9566,56.77,98,100,0.87,overcast clouds
344,Nome,US,64.5011,-165.4064,46.47,66,75,9.22,broken clouds
345,Ornskoldsvik,SE,63.2909,18.7153,52.75,76,100,4.61,overcast clouds
