City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Kailua,US,75.49,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
480,Rio Grande,BR,78.91,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
482,Bangarapet,IN,77.81,overcast clouds,12.9667,78.2,HGR Comforts
485,Itarema,BR,86.76,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
489,Yazoo City,US,84.7,clear sky,32.8551,-90.4056,Hampton Inn Yazoo City
494,Barahona,DO,89.42,few clouds,18.2085,-71.1008,Hotel Caribe
496,Lapua,FI,88.34,overcast clouds,62.9693,23.0088,Hotelli Lapuahovi Ravintola Baari
500,Nur,PL,84.15,clear sky,52.6683,22.3221,W Łęgu Natury Noclegi Pensjonat
502,Conroe,US,86.79,scattered clouds,30.3119,-95.456,Hampton Inn & Suites Conroe - I-45 North
506,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
509,Bone,DE,85.82,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
512,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
515,Vaitape,PF,76.8,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
516,Langsa,ID,78.03,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
518,Chadiza,ZM,76.62,broken clouds,-14.0678,32.4392,Sankhani Guest House
520,Kudahuvadhoo,MV,79.84,light rain,2.6708,72.8944,Niyama Private Islands Maldives
523,Catuday,PH,82.49,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
525,Campo Do Brito,BR,79.02,broken clouds,-10.7333,-37.4933,Pousada Ernesto Sobrinho
529,Wysokie Mazowieckie,PL,82.06,clear sky,52.9166,22.5171,POKOJE Z SERCEM
531,Basoko,CD,85.37,light rain,1.2391,23.616,Jackyna Hotel
536,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
537,Impfondo,CG,82.56,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
539,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
543,Lata,PT,85.5,clear sky,40.1629,-8.3327,Casa Maquia
544,Syracuse,IT,88.32,clear sky,37.0881,15.2792,Hotel Posta
546,Tautira,PF,75.16,light rain,-17.7333,-149.15,Pension Oaoa
547,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
549,Dingle,PH,78.4,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
550,Millinocket,US,81.41,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
552,Maarianhamina,AX,75.06,clear sky,60.0973,19.9348,Park Alandia Hotel
554,Basco,PH,85.51,clear sky,20.4487,121.9702,Nathaniel's Lodge
555,Kutum,SD,81.41,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
558,Fuerte Olimpo,PY,88.52,clear sky,-21.0415,-57.8738,Hospedaje DAMI
561,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
567,Pelotas,BR,78.82,light rain,-31.7719,-52.3425,Hotéis Jacques Georges Tower
570,Bolobo,CD,88.79,broken clouds,-2.1667,16.2333,Hotel de Stephen
574,Barpeta,IN,81.95,overcast clouds,26.3167,91.0,Baba Ka Dhaba Hotel
579,Kimbe,PG,75.83,light rain,-5.5502,150.1429,Kimbe Bay Hotel
584,Progreso,MX,83.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
585,Tete,MZ,86.09,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
